"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0777";"Etten-Leur";"3073";"Rotterdam";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"3352";"Papendrecht";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4711";"Rucphen";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"<5";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4714";"Rucphen";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4715";"Rucphen";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4741";"Halderberge";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4841";"Breda";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4871";"Etten-Leur";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"0";"<5";"<5";"<5";"6";"6";"13";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4872";"Etten-Leur";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"<5";"0";"<5";"<5";"<5";"<5";"6";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4873";"Etten-Leur";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4874";"Etten-Leur";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4875";"Etten-Leur";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4876";"Etten-Leur";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"<5";"<5";"0";"<5";"<5";"5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4881";"Zundert";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4882";"Zundert";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4884";"Zundert";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4885";"Zundert";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4891";"Zundert";"00VD";"00";"KSSBO";"4876XB";"ETTEN-LEUR";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"55303";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4714";"Rucphen";"08YB";"00";"KBS";"4871KS";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4741";"Halderberge";"08YB";"00";"KBS";"4871KS";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4771";"Moerdijk";"08YB";"00";"KBS";"4871KS";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4841";"Breda";"08YB";"00";"KBS";"4871KS";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4871";"Etten-Leur";"08YB";"00";"KBS";"4871KS";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"21";"25";"46";"41";"47";"53";"59";"49";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4872";"Etten-Leur";"08YB";"00";"KBS";"4871KS";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4874";"Etten-Leur";"08YB";"00";"KBS";"4871KS";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4762";"Moerdijk";"09VO";"00";"KBS";"4871VG";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4871";"Etten-Leur";"09VO";"00";"KBS";"4871VG";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"12";"20";"14";"12";"23";"10";"20";"11";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4872";"Etten-Leur";"09VO";"00";"KBS";"4871VG";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4873";"Etten-Leur";"09VO";"00";"KBS";"4871VG";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4874";"Etten-Leur";"09VO";"00";"KBS";"4871VG";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4876";"Etten-Leur";"09VO";"00";"KBS";"4871VG";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"40";"Onbekend";"10GE";"00";"KBS";"4873CZ";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4624";"Bergen op Zoom";"10GE";"00";"KBS";"4873CZ";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4711";"Rucphen";"10GE";"00";"KBS";"4873CZ";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0777";"Etten-Leur";"4714";"Rucphen";"10GE";"00";"KBS";"4873CZ";"ETTEN-LEUR";"Noord-Brabant";"Bo";"Rooms-Katholiek";"55303";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
