"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0797";"Heusden";"4261";"Altena";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"4931";"Geertruidenberg";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5056";"Tilburg";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5076";"Oisterwijk";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5081";"Hilvarenbeek";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5102";"Dongen";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5122";"Gilze en Rijen";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5141";"Waalwijk";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5142";"Waalwijk";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5143";"Waalwijk";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5144";"Waalwijk";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5146";"Waalwijk";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5151";"Heusden";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"<5";"<5";"<5";"<5";"<5";"6";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5152";"Heusden";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5154";"Heusden";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5156";"Heusden";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5172";"Loon op Zand";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5176";"Loon op Zand";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5211";"'s-Hertogenbosch";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5215";"'s-Hertogenbosch";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5223";"'s-Hertogenbosch";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5233";"'s-Hertogenbosch";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"<5";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5235";"'s-Hertogenbosch";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5236";"'s-Hertogenbosch";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5243";"'s-Hertogenbosch";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5245";"'s-Hertogenbosch";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5246";"'s-Hertogenbosch";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5251";"Heusden";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"<5";"6";"7";"7";"<5";"14";"<5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5253";"Heusden";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"10";"12";"14";"13";"14";"18";"12";"20";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5254";"Heusden";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"<5";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5255";"Heusden";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5256";"Heusden";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5262";"Vught";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0797";"Heusden";"5271";"Sint-Michielsgestel";"04FJ";"00";"RK Basisschool t Kompas";"5253AJ";"NIEUWKUIJK";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78222";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
