"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1883";"Sittard-Geleen";"6436";"Beekdaelen";"01DM";"00";"SSBO De Diamant";"6166XM";"GELEEN";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6438";"Beekdaelen";"01DM";"00";"SSBO De Diamant";"6166XM";"GELEEN";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"<5";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6439";"Beekdaelen";"01DM";"00";"SSBO De Diamant";"6166XM";"GELEEN";"Limburg";"Sbo";"Algemeen bijzonder";"83280";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"40";"Onbekend";"03GW";"00";"KC de Loft";"6133WZ";"SITTARD";"Limburg";"Bo";"Protestants-Christelijk";"83280";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6118";"Echt-Susteren";"03GW";"00";"KC de Loft";"6133WZ";"SITTARD";"Limburg";"Bo";"Protestants-Christelijk";"83280";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6121";"Sittard-Geleen";"03GW";"00";"KC de Loft";"6133WZ";"SITTARD";"Limburg";"Bo";"Protestants-Christelijk";"83280";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6131";"Sittard-Geleen";"03GW";"00";"KC de Loft";"6133WZ";"SITTARD";"Limburg";"Bo";"Protestants-Christelijk";"83280";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6132";"Sittard-Geleen";"03GW";"00";"KC de Loft";"6133WZ";"SITTARD";"Limburg";"Bo";"Protestants-Christelijk";"83280";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6133";"Sittard-Geleen";"03GW";"00";"KC de Loft";"6133WZ";"SITTARD";"Limburg";"Bo";"Protestants-Christelijk";"83280";"0";"<5";"<5";"<5";"<5";"6";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6134";"Sittard-Geleen";"03GW";"00";"KC de Loft";"6133WZ";"SITTARD";"Limburg";"Bo";"Protestants-Christelijk";"83280";"0";"<5";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6135";"Sittard-Geleen";"03GW";"00";"KC de Loft";"6133WZ";"SITTARD";"Limburg";"Bo";"Protestants-Christelijk";"83280";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6136";"Sittard-Geleen";"03GW";"00";"KC de Loft";"6133WZ";"SITTARD";"Limburg";"Bo";"Protestants-Christelijk";"83280";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1883";"Sittard-Geleen";"6137";"Sittard-Geleen";"03GW";"00";"KC de Loft";"6133WZ";"SITTARD";"Limburg";"Bo";"Protestants-Christelijk";"83280";"0";"<5";"<5";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
