"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1980";"Dijk en Waard";"1636";"Alkmaar";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1645";"Koggenland";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1701";"Dijk en Waard";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1702";"Dijk en Waard";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1703";"Dijk en Waard";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1704";"Dijk en Waard";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1705";"Dijk en Waard";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1706";"Dijk en Waard";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1711";"Koggenland";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1713";"Koggenland";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1716";"Opmeer";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1722";"Dijk en Waard";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1723";"Dijk en Waard";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1724";"Dijk en Waard";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"<5";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1731";"Hollands Kroon";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1733";"Hollands Kroon";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1741";"Schagen";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1742";"Schagen";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1746";"Schagen";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1813";"Alkmaar";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1816";"Alkmaar";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1823";"Alkmaar";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1825";"Alkmaar";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1826";"Alkmaar";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1829";"Alkmaar";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1831";"Alkmaar";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1834";"Dijk en Waard";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1852";"Heiloo";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1901";"Castricum";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1921";"Castricum";"00RL";"00";"Antoniusschool Heerhugowaard";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Samenwerking PC, RK";"41008";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1474";"Edam-Volendam";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1483";"Alkmaar";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1602";"Enkhuizen";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1611";"Stede Broec";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1613";"Stede Broec";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1614";"Stede Broec";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1616";"Drechterland";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1619";"Medemblik";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1622";"Hoorn";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1623";"Hoorn";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1624";"Hoorn";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1625";"Hoorn";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1636";"Alkmaar";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1645";"Koggenland";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1648";"Koggenland";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1671";"Medemblik";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1687";"Medemblik";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1689";"Hoorn";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1693";"Medemblik";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1701";"Dijk en Waard";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1701";"Dijk en Waard";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"Vso";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1702";"Dijk en Waard";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1703";"Dijk en Waard";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1704";"Dijk en Waard";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1704";"Dijk en Waard";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"Vso";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1705";"Dijk en Waard";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1706";"Dijk en Waard";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1713";"Koggenland";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1715";"Opmeer";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1716";"Opmeer";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1718";"Opmeer";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1721";"Dijk en Waard";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1722";"Dijk en Waard";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1723";"Dijk en Waard";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1724";"Dijk en Waard";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1731";"Hollands Kroon";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1732";"Hollands Kroon";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1735";"Hollands Kroon";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1738";"Schagen";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1741";"Schagen";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1742";"Schagen";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1751";"Schagen";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"Vso";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1752";"Schagen";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1755";"Schagen";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1756";"Schagen";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1759";"Schagen";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1761";"Hollands Kroon";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1766";"Hollands Kroon";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"So";"Algemeen bijzonder";"40837";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1980";"Dijk en Waard";"1766";"Hollands Kroon";"01LB";"00";"De Ruimte";"1704EK";"HEERHUGOWAARD";"Noord-Holland";"Vso";"Algemeen bijzonder";"40837";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
